"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"95 750 грн","Старий Київ","Шевченківський","Київ","5 кімнат","235 / 150 / 20 м²","поверх 5 з 8","спец. проект","монолітно-каркасний","2005"
"191 500 грн","ЖК The Garden","Звіринець","Печерський","4 кімнати","190 / 120 / 25 м²","поверх 8 з 10","спец. проект","монолітно-каркасний","2018"
"68 940 грн","ЖК Златоустівський","Солдатська слобідка","Шевченківський","4 кімнати","163 / 108 / 19 м²","поверх 7 з 8","спец. проект","монолітно-каркасний","2014"
"14 000 грн","Святошино","Святошинський","Київ","4 кімнати","90 / 60 / 12 м²","поверх 10 з 18","спец. проект","монолітно-каркасний","2002"
"210 650 грн","ЖК Французький квартал 2","Нова забудова","Печерський","5 кімнат","240 / 180 / 42 м²","поверх 21 з 24","спец. проект","монолітно-каркасний","2021"
"68 940 грн","Оболонь","Оболонський","Київ","4 кімнати","250 / 120 / 23 м²","поверх 12 з 16","спец. проект","монолітно-каркасний","2000"
"145 540 грн","Старий Київ","Шевченківський","Київ","5 кімнат","200 / 120 / 50 м²","поверх 2 з 4","цегляний будинок","",""
"32 000 грн","Історичний центр","Шевченківський","Київ","4 кімнати","100 / 60 / 20 м²","поверх 8 з 12","спец. проект","цегляний будинок","1982"
"38 000 грн","Історичний центр","Шевченківський","Київ","4 кімнати","140 / 93 / 15 м²","поверх 5 з 7","сталінка","цегляний будинок","1939"
"18 000 грн","Соцмісто","Дніпровський","Київ","4 кімнати","96 / 42 / 14 м²","поверх 11 з 16","спец. проект","монолітно-каркасний","1998"
"57 450 грн","ЖК вул. Степана Руданського, 4-6","Сирець","Шевченківський","4 кімнати","140 / 83 / 17 м²","поверх 7 з 17","спец. проект","монолітно-каркасний","2005"
"35 000 грн","ЖК Молодіжний квартал","Осокорки","Дарницький","4 кімнати","150 / 120 / 17 м²","поверх 14 з 24","спец. проект","монолітно-каркасний","2014"
"153 200 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","5 кімнат","380 / 185 / 36 м²","поверх 20 з 21","спец. проект","монолітно-каркасний","2013"
"29 999 грн","ЖК Гранд","Оболонь","Оболонський","4 кімнати","125 / 96 / 15 м²","поверх 12 з 24","спец. проект","цегляний будинок","2015"
