"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"19 990 грн","Нова забудова","Печерський","Київ","2 кімнати","46 / 29 / 6 м²","поверх 6 з 8","цегляний будинок","1966",""
"12 500 грн","Оболонь","Оболонський","Київ","3 кімнати","62 / 46 / 8 м²","поверх 2 з 9","панельні","1973",""
"13 000 грн","Соцмісто","Дніпровський","Київ","2 кімнати","45 / 25 / 7 м²","поверх 2 з 3","сталінка","цегляний будинок",""
"12 000 грн","Академмістечко","Святошинський","Київ","2 кімнати","56 / 32 / 9 м²","поверх 3 з 16","спец. проект","монолітно-каркасний","2003"
"10 000 грн","Сирець","Шевченківський","Київ","1 кімната","25 / 16 / 4 м²","поверх 1 з 5","гостинка","цегляний будинок","1970"
"13 500 грн","Академмістечко","Святошинський","Київ","3 кімнати","58 / 39 / 8 м²","поверх 5 з 5","хрущівка","цегляний будинок","1964"
"49 790 грн","ЖК Покровський посад","Кудрявець","Шевченківський","4 кімнати","130 / 1 / 1 м²","поверх 12 з 26","спец. проект","монолітно-каркасний","2014"
"31 023 грн","Історичний центр","Шевченківський","Київ","2 кімнати","60 / 45 / 10 м²","поверх 3 з 5","дореволюційний","цегляний будинок","1905"
"95 750 грн","ЖК бул. Лесі Українки, 7б","Печерськ","Печерський","5 кімнат","420 / 92 / 30 м²","поверх 20 з 24","спец. проект","монолітно-каркасний","2010"
"76 600 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","4 кімнати","130 / 120 / 5 м²","поверх 9 з 10","спец. проект","монолітно-каркасний","2014"
"30 640 грн","ЖК Зарічний","Позняки","Дарницький","2 кімнати","50 / 15 / 20 м²","поверх 22 з 25","спец. проект","монолітно-каркасний","2019"
"45 960 грн","ЖК Островського, 40","Солом'янка","Солом'янський","3 кімнати","98 / 50 / 13 м²","поверх 15 з 18","спец. проект","монолітно-каркасний","2013"
"20 000 грн","ЖК Шевченківський","Солдатська слобідка","Шевченківський","1 кімната","50 / 18 / 12 м²","поверх 5 з 15","цегляний будинок","",""
"12 000 грн","ЖК Welcome Home на Ревуцького","Осокорки","Дарницький","1 кімната","38 / 20 / 10 м²","поверх 16 з 27","спец. проект","панельні","2019"
"17 000 грн","Нова забудова","Голосіївський","Київ","3 кімнати","70 / 42 / 11 м²","поверх 8 з 8","спец. проект","цегляний будинок","1990"
"11 000 грн","Осокорки","Дарницький","Київ","2 кімнати","65 / 41 / 9 м²","поверх 4 з 16","серія КТ","утеплена панель","1997"
